sample_id	reference	material_source_and_purity	synthesis_method	processing_route	sintering_temperature	sintering_duration	dopant_element	dopant_ionic_radius	dopant_valence	dopant_molar_fraction	crystal_phase	operating_temperature	conductivity
28	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)； Sc2O3，商业化材料(99.99%, Alfa Aesar, MA, USA)	固相合成	干压成型	1600	6h	Sc	87	+3	0.08	c/t	800	0.553
29	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Y2O3，商业化材料(99.99%, Aldrich, MO, USA)	固相合成	干压成型	1600	6h	Y	101.9	+3	0.08	c/t	800	0.0009
30	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Lu2O3,商业化材料(99.99%, Alfa Aesar, MA, USA) 	固相合成	干压成型	1600	6h	Lu	97.7	+3	0.08	c/t	750	0.038
31	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)； Sc2O3，商业化材料(99.99%, Alfa Aesar, MA, USA)	固相合成	干压成型	1600	6h	Sc	87	+3	0.08	c/t	750	0.04
32	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Y2O3，商业化材料(99.99%, Aldrich, MO, USA)	固相合成	干压成型	1600	6h	Y	101.9	+3	0.08	c/t	750	0.0003
33	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Lu2O3,商业化材料(99.99%, Alfa Aesar, MA, USA) 	固相合成	干压成型	1600	6h	Lu	97.7	+3	0.08	c/t	700	0.0158
34	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)； Sc2O3，商业化材料(99.99%, Alfa Aesar, MA, USA)	固相合成	干压成型	1600	6h	Sc	87	+3	0.08	c/t	700	0.0192
35	10.1016/j.ceramint.2021.03.158	ZrO2，商业化材料(99.57 wt% with 1.91 wt% of HfO2, Z-Tech, NH, USA)；Y2O3，商业化材料(99.99%, Aldrich, MO, USA)	固相合成	干压成型	1600	6h	Y	101.9	+3	0.08	c/t	700	0.0002
36	10.1016/j.ijhydene.2020.08.085	Sc0.1Ce0.005Gd0.005Zr0.89，商品化材料，Kceracell, Republic of Korea；Bi2O3，商业化材料(Sigma Aldrich)	固相合成	干压成型	1350	4h	Bi/Sc/Ce/Gd	96/87/105.3/97	+3/+3/+4/+3	2%/10%/0.5%/0.5%	c/β	800	0.0023
37	10.3390/cryst12050620	"ZrO2，商业化材料 (SCRC, 2–4μm,purity: >99%)；MnO，商业化材料(Alfa Aesar, 2–4 
μm, purity: >99.5%)"	固相合成	干压成型	1400	12h	Mn	83	+2	0.25	c	600	0.0144
38	10.3390/cryst12050620	"ZrO2，商业化材料 (SCRC, 2–4μm,purity: >99%)；MnO，商业化材料(Alfa Aesar, 2–4 
μm, purity: >99.5%)"	固相合成	干压成型	1400	12h	Mn	83	+2	0.25	c	1000	0.182
39	10.2109/jcersj2.15297	硝酸氧锆、硝酸钇、硝酸铋	共沉淀法	干压成型	1300	5min	Y	101.9	+3	0.085	c	450	2.4679×10-5
40	10.2109/jcersj2.15297	硝酸氧锆、硝酸钇、硝酸铋	共沉淀法	干压成型	1300	30min	Y	101.9	+3	0.085	c	450	2.4641×10-5
41	10.2109/jcersj2.15297	硝酸氧锆、硝酸钇、硝酸铋	共沉淀法	干压成型	1300	4h	Y	101.9	+3	0.085	c	450	2.4666×10-5
42	10.2109/jcersj2.15297	硝酸氧锆、硝酸钇、硝酸铋	共沉淀法	干压成型	1300	5min	Y/Bi	101.9/96	+3/+3	8%/4%	c/β	450	3.4623×10-5
43	10.2109/jcersj2.15297	硝酸氧锆、硝酸钇、硝酸铋	共沉淀法	干压成型	1300	30min	Y/Bi	101.9/96	+3/+3	8%/4%	c	450	1.616×10-5
44	10.2109/jcersj2.15297	硝酸氧锆、硝酸钇、硝酸铋	共沉淀法	干压成型	1300	4h	Y/Bi	101.9/96	+3/+3	8%/4%	c	450	2.9005×10-5
45	10.1016/j.ssi.2004.02.007	"Sc2O3，商业化材料(StanfordMaterial,99.99%purity)；ZrO2,商业化材料(Fluka, 99%purity);
Y2O3,商业化材料(Alfa Aesar, 99.9%purity)."	固相合成	干压成型	1600	16h	Y/Sc	101.9/87	+3/+3	1%/10%	c	800	0.0518
46	10.1016/j.ssi.2004.02.007	"Sc2O3，商业化材料(StanfordMaterial,99.99%purity)；ZrO2,商业化材料(Fluka, 99%purity);
Y2O3,商业化材料(Alfa Aesar, 99.9%purity)."	固相合成	干压成型	1600	16h	Y/Sc	101.9/87	+3/+3	2%/9%	c	800	0.0589
47	10.1016/j.ssi.2004.02.007	"Sc2O3，商业化材料(StanfordMaterial,99.99%purity)；ZrO2,商业化材料(Fluka, 99%purity);
Y2O3,商业化材料(Alfa Aesar, 99.9%purity)."	固相合成	干压成型	1600	16h	Y/Sc	101.9/87	+3/+3	3%/8%	c	800	0.0352
48	10.1016/j.ssi.2004.02.007	Sc2O3，商业化材料(StanfordMaterial,99.99%purity)；ZrO2,商业化材料(Fluka, 99%purity)	固相合成	干压成型	1600	16h	Sc	87	+3	0.11	c/r	800	0.0433
49	10.1016/j.ssi.2004.02.007	"ZrO2,商业化材料(Fluka, 99%purity);
Y2O3,商业化材料(Alfa Aesar, 99.9%purity)."	固相合成	干压成型	1600	16h	Y	101.9	+3	0.11	c	800	0.014
50	10.1515/amm-2015-0248	硝酸锆、硝酸钇（sigma-aldrich）	溶胶凝胶法	干压成型	1200	2h	Y	101.9	+3/+3	0.03	/	500	5.2884×10-6
51	10.1515/amm-2015-0248	硝酸锆、硝酸钇、硝酸钆（sigma-aldrich）	溶胶凝胶法	干压成型	1200	2h	Y/Gd	101.9/97	+3/+3	3%/0.25%	/	500	1.5073×10-4
52	10.1515/amm-2015-0248	硝酸锆、硝酸钇、硝酸钆（sigma-aldrich）	溶胶凝胶法	干压成型	1200	2h	Y/Gd	101.9/97	+3/+3	3%/0.5%	/	500	4.108×10-5
53	10.1515/amm-2015-0248	硝酸锆、硝酸钇、硝酸钆（sigma-aldrich）	溶胶凝胶法	干压成型	1200	2h	Y/Gd	101.9/97	+3/+3	3%/1%	/	500	7.4852×10-5
54	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb	101.9/98.5	+3/+3	5%/2.5%	c	1000	0.128
55	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.89%/2.44%/0.47%	c	1000	0.15
56	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.88%/2.44%/0.98%	c	1000	0.18
57	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.75%/2.38%/2.38%	c	1000	0.162
58	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.56%/2.29%/4.56%	c	1000	0.152
59	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.41%/2.21%/5.88%	c	1000	0.102
60	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb	101.9/98.5	+3/+3	5%/2.5%	c	950	0.091
61	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.89%/2.44%/0.47%	c	950	0.121
62	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.88%/2.44%/0.98%	c	950	0.142
63	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.75%/2.38%/2.38%	c	950	0.129
64	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.56%/2.29%/4.56%	c	950	0.097
65	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.41%/2.21%/5.88%	c	950	0.068
66	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb	101.9/98.5	+3/+3	5%/2.5%	c	900	0.064
67	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.89%/2.44%/0.47%	c	900	0.079
68	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.88%/2.44%/0.98%	c	900	0.098
69	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.75%/2.38%/2.38%	c	900	0.092
70	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.56%/2.29%/4.56%	c	900	0.069
71	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 Sc2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	4.41%/2.21%/5.88%	c	900	0.042
72	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb	101.9/98.5	+3/+3	5%/2.5%	c	1000	0.129
73	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.89%/2.44%/0.47%	c	1000	0.148
74	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.88%/2.44%/0.98%	c	1000	0.16
75	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.75%/2.38%/2.38%	c	1000	0.104
76	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.56%/2.29%/4.56%	c	1000	0.057
77	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.41%/2.21%/5.88%	c	1000	0.036
78	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb	101.9/98.5	+3/+3	5%/2.5%	c	950	0.091
79	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.89%/2.44%/0.47%	c	950	0.123
80	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.88%/2.44%/0.98%	c	950	0.134
81	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.75%/2.38%/2.38%	c	950	0.068
82	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.56%/2.29%/4.56%	c	950	0.039
83	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.41%/2.21%/5.88%	c	950	0.024
84	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
 GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb	101.9/98.5	+3/+3	5%/2.5%	c	900	0.064
85	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.89%/2.44%/0.47%	c	900	0.088
86	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.88%/2.44%/0.98%	c	900	0.092
87	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.75%/2.38%/2.38%	c	900	0.052
88	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.56%/2.29%/4.56%	c	900	0.025
89	10.1016/j.msea.2006.12.072	"ZrO2,
Farmeiya (Jiujiang) Advanced Material Co., Ltd., China, 99.9%; Y2O3, Yb2O3,
Dy2O3, GeoQuin Nano Rare Earth Co., Ltd., China, 99%"	固相合成	干压成型	1600	4h	Y/Yb/Dy	101.9/98.5/102.7	+3/+3/+3	4.41%/2.21%/5.88%	c	900	0.013
90	10.2109/jcersj2.123.250	YSZ靶材	商品化	射频溅射	550	/	Y	101.9	+3	0.08	c	560	0.078
91	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O,Y(NO3)3·6H2O,Yb(NO3)3·6H2O,Sc2O3	甘氨酸法	干压成型	1600	4h	Y/Yb/Sc	101.9/98.5/87	+3/+3/+3	5.35%/2.67%/1.07%	c	1000	0.15
92	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O,Y(NO3)3·6H2O,Yb(NO3)3·6H2O,Sc2O3,Al(NO3)·9H2O	甘氨酸法	干压成型	1600	4h	Y/Yb/Sc/Al	101.9/98.5/87/54	+3/+3/+3/+3	5.32%/2.66%/1.06%/0.28%	c	1000	0.14
93	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O,Y(NO3)3·6H2O,Yb(NO3)3·6H2O,Sc2O3,CaCO3	甘氨酸法	干压成型	1600	4h	Y/Yb/Sc/Ca	101.9/98.5/87/112	+3/+3/+3/+2	5.23%/2.61%/1.05%/2.13%	c	1000	0.08
94	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O,Y(NO3)3·6H2O,Yb(NO3)3·6H2O,Sc2O3,Al(NO3)·9H2O,CaCO3	甘氨酸法	干压成型	1600	4h	Y/Yb/Sc/Al/Ca	101.9/98.5/87/54/112	+3/+3/+3/+3/+2	5.22%/2.61%/1.04%/0.27/2.13%	c	1000	0.119
