sample_id	reference	material_source_and_purity	synthesis_method	processing_route	operating_temperature	conductivity
36	10.1016/j.ijhydene.2020.08.085	Commercial Sc0.1Ce0.005Gd0.005Zr0.89 material supplied by Kceracell (Republic of Korea) and commercial Bi2O3 material supplied by Sigma Aldrich.	Solid-state synthesis	dry pressing	800	0.0023
37	10.3390/cryst12050620	Commercial ZrO2 powder supplied by SCRC with a particle size of 2–4 μm and purity higher than 99%, and commercial MnO powder supplied by Alfa Aesar with a particle size of 2–4 μm and purity higher than 99.5%.	Solid-state synthesis	dry pressing	600	0.0144
38	10.3390/cryst12050620	Commercial ZrO2 powder supplied by SCRC with a particle size of 2–4 μm and purity higher than 99%, and commercial MnO powder supplied by Alfa Aesar with a particle size of 2–4 μm and purity higher than 99.5%.	Solid-state synthesis	dry pressing	1000	0.182
39	10.2109/jcersj2.15297	Zirconyl nitrate, yttrium nitrate, and bismuth nitrate were used as starting materials.	Coprecipitation method	dry pressing	450	0.000024679
40	10.2109/jcersj2.15297	Zirconyl nitrate, yttrium nitrate, and bismuth nitrate were used as starting materials.	Coprecipitation method	dry pressing	450	0.000024641
41	10.2109/jcersj2.15297	Zirconyl nitrate, yttrium nitrate, and bismuth nitrate were used as starting materials.	Coprecipitation method	dry pressing	450	0.000024666
42	10.2109/jcersj2.15297	Zirconium oxynitrate, yttrium nitrate, and bismuth nitrate were used as starting materials.	Coprecipitation method	dry pressing	450	0.000034623
43	10.2109/jcersj2.15297	Zirconyl nitrate, yttrium nitrate, and bismuth nitrate were used as starting materials.	Coprecipitation method	dry pressing	450	0.00001616
44	10.2109/jcersj2.15297	Zirconyl nitrate, yttrium nitrate, and bismuth nitrate were used as starting materials.	Coprecipitation method	dry pressing	450	0.000029005
45	10.1016/j.ssi.2004.02.007	Commercial Sc2O3 powder supplied by StanfordMaterial with 99.99% purity, commercial ZrO2 powder supplied by Fluka with 99% purity, and commercial Y2O3 powder supplied by Alfa Aesar with 99.9% purity.	Solid-state synthesis	dry pressing	800	0.0518
46	10.1016/j.ssi.2004.02.007	Commercial Sc2O3 powder supplied by StanfordMaterial with 99.99% purity, commercial ZrO2 powder supplied by Fluka with 99% purity, and commercial Y2O3 powder supplied by Alfa Aesar with 99.9% purity.	Solid-state synthesis	dry pressing	800	0.0589
47	10.1016/j.ssi.2004.02.007	Commercial Sc2O3 powder supplied by StanfordMaterial with 99.99% purity, commercial ZrO2 powder supplied by Fluka with 99% purity, and commercial Y2O3 powder supplied by Alfa Aesar with 99.9% purity.	Solid-state synthesis	dry pressing	800	0.0352
48	10.1016/j.ssi.2004.02.007	Commercial Sc2O3 powder supplied by StanfordMaterial with 99.99% purity and commercial ZrO2 powder supplied by Fluka with 99% purity.	Solid-state synthesis	dry pressing	800	0.0433
49	10.1016/j.ssi.2004.02.007	Commercial ZrO2 powder supplied by Fluka with 99% purity and commercial Y2O3 powder supplied by Alfa Aesar with 99.9% purity.	Solid-state synthesis	dry pressing	800	0.014
50	10.1515/amm-2015-0248	Zirconium nitrate and yttrium nitrate supplied by Sigma-Aldrich.	Sol–gel method	dry pressing	500	0.0000052884
51	10.1515/amm-2015-0248	Zirconium nitrate, yttrium nitrate, and gadolinium nitrate supplied by Sigma-Aldrich.	Sol–gel method	dry pressing	500	0.00015073
52	10.1515/amm-2015-0248	Zirconium nitrate, yttrium nitrate, and gadolinium nitrate supplied by Sigma-Aldrich.	Sol–gel method	dry pressing	500	0.00004108
53	10.1515/amm-2015-0248	Zirconium nitrate, yttrium nitrate, and gadolinium nitrate supplied by Sigma-Aldrich.	Sol–gel method	dry pressing	500	0.000074852
54	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3 and Yb2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	1000	0.128
55	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with 99.9% purity and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with 99% purity.	Solid-state synthesis	dry pressing	1000	0.15
56	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	1000	0.18
57	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	1000	0.162
58	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	1000	0.152
59	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	1000	0.102
60	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3 and Yb2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	950	0.091
61	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with 99.9% purity and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with 99% purity.	Solid-state synthesis	dry pressing	950	0.121
62	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	950	0.142
63	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	950	0.129
64	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	950	0.097
65	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	950	0.068
66	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3 and Yb2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	900	0.064
67	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with 99.9% purity and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with 99% purity.	Solid-state synthesis	dry pressing	900	0.079
68	10.1016/j.msea.2006.12.072	Commercial ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9%, and commercial Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	900	0.098
69	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	900	0.092
70	10.1016/j.msea.2006.12.072	ZrO2 powder was supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9%, and Y2O3, Yb2O3, and Sc2O3 powders were supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	900	0.069
71	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3, Yb2O3, and Sc2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	900	0.042
72	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3 and Yb2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	1000	0.129
73	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	1000	0.148
74	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9%, and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	1000	0.16
75	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	1000	0.104
76	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	1000	0.057
77	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	1000	0.036
78	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3 and Yb2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	950	0.091
79	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9%, and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	950	0.123
80	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with 99.9% purity and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with 99% purity.	Solid-state synthesis	dry pressing	950	0.134
81	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9%, and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	950	0.068
82	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	950	0.039
83	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with purity of 99.9% and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with purity of 99%.	Solid-state synthesis	dry pressing	950	0.024
84	10.1016/j.msea.2006.12.072	ZrO2 powder was supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9%, and Y2O3 and Yb2O3 powders were supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	900	0.064
85	10.1016/j.msea.2006.12.072	ZrO2 powder was supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9%, and Y2O3, Yb2O3, and Dy2O3 powders were supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	900	0.088
86	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with 99.9% purity and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with 99% purity.	Solid-state synthesis	dry pressing	900	0.092
87	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9%, and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	900	0.052
88	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	900	0.025
89	10.1016/j.msea.2006.12.072	ZrO2 powder supplied by Farmeiya (Jiujiang) Advanced Material Co., Ltd. (China) with a purity of 99.9% and Y2O3, Yb2O3, and Dy2O3 powders supplied by GeoQuin Nano Rare Earth Co., Ltd. (China) with a purity of 99%.	Solid-state synthesis	dry pressing	900	0.013
90	10.2109/jcersj2.123.250	YSZ sputtering target material.	Commercialization	RF sputtering	560	0.078
91	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, and Sc2O3 were used as starting materials.	Glycine method	dry pressing	1000	0.15
92	1002-0721(2005)-0309-04（稀土学报）	The raw materials were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Sc2O3, and Al(NO3)·9H2O.	Glycine method	dry pressing	1000	0.14
93	1002-0721(2005)-0309-04（稀土学报）	The materials used were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Sc2O3, and CaCO3.	Glycine method	dry pressing	1000	0.08
94	1002-0721(2005)-0309-04（稀土学报）	The material consists of Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Sc2O3, Al(NO3)·9H2O, and CaCO3.	Glycine method	dry pressing	1000	0.119
95	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, and Dy(NO3)·6H2O were used as raw materials.	Glycine method	dry pressing	1000	0.15
96	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Dy(NO3)·6H2O, and Al(NO3)·9H2O were used as starting materials.	Glycine method	dry pressing	1000	0.14
97	1002-0721(2005)-0309-04（稀土学报）	The starting materials were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Dy(NO3)·6H2O, and CaCO3.	Glycine method	dry pressing	1000	0.078
98	1002-0721(2005)-0309-04（稀土学报）	The materials used were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Dy(NO3)·6H2O, Al(NO3)·9H2O, and CaCO3.	Glycine method	dry pressing	1000	0.113
99	1002-0721(2005)-0309-04（稀土学报）	The starting materials were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, and Sc2O3.	Glycine method	dry pressing	800	0.04
100	1002-0721(2005)-0309-04（稀土学报）	The materials used were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Sc2O3, and Al(NO3)·9H2O.	Glycine method	dry pressing	800	0.033
101	1002-0721(2005)-0309-04（稀土学报）	The starting materials were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Sc2O3, and CaCO3.	Glycine method	dry pressing	800	0.015
102	1002-0721(2005)-0309-04（稀土学报）	The starting materials were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Sc2O3, Al(NO3)·9H2O, and CaCO3.	Glycine method	dry pressing	800	0.026
103	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, and Dy(NO3)·6H2O were used as starting materials.	Glycine method	dry pressing	800	0.035
104	1002-0721(2005)-0309-04（稀土学报）	Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Dy(NO3)·6H2O, and Al(NO3)·9H2O were used as raw materials.	Glycine method	dry pressing	800	0.03
105	1002-0721(2005)-0309-04（稀土学报）	The materials used were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Dy(NO3)·6H2O, and CaCO3.	Glycine method	dry pressing	800	0.01
106	1002-0721(2005)-0309-04（稀土学报）	The starting materials were Zr(NO3)4·5H2O, Y(NO3)3·6H2O, Yb(NO3)3·6H2O, Dy(NO3)·6H2O, Al(NO3)·9H2O, and CaCO3.	Glycine method	dry pressing	800	0.022
107	10.1016/j.ssi.2008.01.088	The materials used were Zr(C5H7O2)4 and Y(C5H7O2)3(H2O)x.	Commercialization	ultrasonic spray pyrolysis	650	0.033
108	10.1002/cvde.201207006	ZrO2 and Y2O3 were used as starting materials.	Commercialization	metal-organic chemical vapor deposition	600	0.001
109	10.1002/cvde.201207006	ZrO2 and Y2O3 were used as starting materials.	Commercialization	metal-organic chemical vapor deposition	700	0.005
110	10.1002/cvde.201207006	ZrO2 and Y2O3 were used as starting materials.	Commercialization	metal-organic chemical vapor deposition	800	0.013
111	10.1002/cvde.201207006	ZrO2 and Sc2O3 were used as starting materials.	Commercialization	metal-organic chemical vapor deposition	600	0.002
112	10.1002/cvde.201207006	ZrO2 and Sc2O3 were used as raw materials.	Commercialization	metal-organic chemical vapor deposition	700	0.007
113	10.1002/cvde.201207006	ZrO2 and Sc2O3 were used as materials.	Commercialization	metal-organic chemical vapor deposition	800	0.021
114	10.1016/0167-2738(94)90263-1	Commercial YSZ material supplied by Tosoh Corporation (Tokyo, Japan).	Commercialization	dry pressing	800	0.018
115	10.1016/0167-2738(94)90263-1	Commercial YSZ powder supplied by Tosoh Corporation (Tokyo, Japan).	Commercialization	dry pressing	900	0.035
116	10.1016/0167-2738(94)90263-1	Commercial YSZ material supplied by Tosoh Corporation (Tokyo, Japan).	Commercialization	dry pressing	1000	0.058
